station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
UTA,2011-04-25 09:55,-90.3467,34.6811,59.00,66.20,60.80,82.74,290.00,14.00,null,29.95,null,5.00,26.00,SCT,SCT,BKN,   ,1300.00,1900.00,2500.00,null,+RA,null,null,null,null,null,null,66.20,KUTA 250955Z AUTO 29014G26KT 5SM +RA SCT013 SCT019 BKN025 19/16 A2995 RMK AO2 LTG DSNT ALQS,null
NMM,2011-04-25 09:56,-88.5556,32.5521,97.00,68.00,64.00,87.16,null,null,null,29.98,1016.00,7.00,null,SCT,   ,   ,   ,1800.00,null,null,null,null,null,null,null,null,null,null,68.00,KNMM 250956Z AUTO 00000KT 7SM SCT018 20/18 A2998 RMK AO2 SLP160 T02000178,null
MEI,2011-04-25 09:58,-88.7511,32.3347,94.00,68.00,67.00,96.28,170.00,4.00,0.00,29.98,1014.70,8.00,null,FEW,BKN,null,null,1300.00,2100.00,null,null,null,null,null,null,null,null,null,68.00,KMEI 250958Z AUTO 17004KT 8SM FEW013 BKN021 20/19 A2998 RMK AO2 SLP147 T02000194,null
BIX,2011-04-25 09:58,-88.9244,30.4104,10.00,75.20,71.60,88.59,170.00,7.00,null,29.96,1014.70,10.00,null,BKN,BKN,   ,   ,1500.00,2100.00,null,null,null,null,null,null,null,null,null,76.58,KBIX 250958Z AUTO 17007KT 10SM BKN015 BKN021 24/22 A2996 RMK AO2 CIG 013V018 SLP147,null
PQL,2011-04-25 09:59,-88.5319,30.4636,5.00,66.20,66.20,100.00,null,null,null,29.96,null,1.75,null,FEW,   ,   ,   ,1700.00,null,null,null,BR,null,null,null,null,null,null,66.20,KPQL 250959Z AUTO 00000KT 1 3/4SM BR FEW017 19/19 A2996 RMK AO2,null
CBM,2011-04-25 10:02,-88.4438,33.6438,67.00,66.20,64.40,93.92,200.00,4.00,null,29.97,1015.00,10.00,null,OVC,   ,   ,   ,1000.00,null,null,null,null,null,null,null,null,null,null,66.20,KCBM 251002Z AUTO 20004KT 10SM OVC010 19/18 A2997 RMK AO2 SLP150 $,null
MEI,2011-04-25 10:09,-88.7511,32.3347,94.00,68.00,66.20,93.97,170.00,4.00,null,29.98,null,8.00,null,FEW,SCT,   ,   ,1300.00,2100.00,null,null,null,null,null,null,null,null,null,68.00,KMEI 251009Z AUTO 17004KT 8SM FEW013 SCT021 20/19 A2998 RMK AO2,null
PQL,2011-04-25 10:10,-88.5319,30.4636,5.00,66.20,66.20,100.00,null,null,null,29.97,null,3.00,null,FEW,   ,   ,   ,1700.00,null,null,null,BR,null,null,null,null,null,null,66.20,KPQL 251010Z AUTO 00000KT 3SM BR FEW017 19/19 A2997 RMK AO2,null
MCB,2011-04-25 10:10,-90.4700,31.1800,126.00,69.80,68.00,94.01,130.00,3.00,null,29.95,null,2.50,null,OVC,   ,   ,   ,200.00,null,null,null,BR,null,null,null,null,null,null,69.80,KMCB 251010Z AUTO 13003KT 2 1/2SM BR OVC002 21/20 A2995 RMK AO2,null
CBM,2011-04-25 10:13,-88.4438,33.6438,67.00,66.20,64.40,93.92,200.00,3.00,null,29.98,1015.00,10.00,null,SCT,   ,   ,   ,1000.00,null,null,null,null,null,null,null,null,null,null,66.20,KCBM 251013Z AUTO 20003KT 10SM SCT010 19/18 A2998 RMK AO2 SLP150 $,null
PIB,2011-04-25 10:15,-89.3371,31.4671,91.00,71.60,64.40,78.04,150.00,6.00,null,29.98,null,10.00,null,BKN,OVC,   ,   ,1700.00,2200.00,null,null,null,null,null,null,null,null,null,71.60,KPIB 251015Z AUTO 15006KT 10SM BKN017 OVC022 22/18 A2998 RMK AO1,null
UOX,2011-04-25 10:15,-89.5368,34.3843,137.80,68.00,64.40,88.26,190.00,4.00,null,29.93,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,68.00,KUOX 251015Z AUTO 19004KT 10SM CLR 20/18 A2993 RMK AO2 LTG DSNT W AND NW,null
GTR,2011-04-25 10:15,-88.5914,33.4503,80.00,64.40,62.60,93.88,160.00,3.00,null,29.97,null,7.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,64.40,KGTR 251015Z 16003KT 7SM CLR 18/17 A2997 RMK AO1,null
BIX,2011-04-25 10:15,-88.9244,30.4104,10.00,75.20,71.60,88.59,160.00,4.00,null,29.96,1014.60,10.00,null,BKN,BKN,   ,   ,1400.00,2000.00,null,null,null,null,null,null,null,null,null,76.58,KBIX 251015Z AUTO 16004KT 10SM BKN014 BKN020 24/22 A2996 RMK AO2 CIG 012V018 SLP146,null
OLV,2011-04-25 10:15,-89.7869,34.9787,122.50,68.00,68.00,100.00,270.00,16.00,null,29.92,null,9.00,22.00,FEW,SCT,BKN,   ,1300.00,1900.00,4300.00,null,null,null,null,null,null,null,null,68.00,KOLV 251015Z AUTO 27016G22KT 9SM FEW013 SCT019 BKN043 20/20 A2992 RMK A01 P000,null
CRX,2011-04-25 10:15,-88.6035,34.9150,129.00,68.00,62.60,82.86,200.00,7.00,null,29.92,null,10.00,null,SCT,SCT,   ,   ,7500.00,10000.00,null,null,null,null,null,null,null,null,null,68.00,KCRX 251015Z AUTO 20007KT 10SM SCT075 SCT100 20/17 A2992 RMK AO2 LTG DSNT W AND NW,null
CKM,2011-04-25 10:15,-90.5123,34.2997,52.70,68.00,62.60,82.86,310.00,17.00,null,29.93,null,10.00,null,FEW,SCT,BKN,   ,1700.00,3300.00,5000.00,null,null,null,null,null,null,null,null,68.00,KCKM 251015Z AUTO 31017KT 10SM FEW017 SCT033 BKN050 20/17 A2993 RMK AO1,null
1R7,2011-04-25 10:15,-90.4093,31.6058,149.00,69.80,69.80,100.00,150.00,5.00,null,29.96,null,5.00,null,BKN,   ,   ,   ,600.00,null,null,null,BR,null,null,null,null,null,null,69.80,K1R7 251015Z AUTO 15005KT 5SM BR BKN006 21/21 A2996 RMK AO2,null
MIS,2011-04-25 10:15,-88.8420,29.2960,32.00,80.60,73.40,78.76,210.00,8.00,null,29.95,null,4.00,13.00,FEW,FEW,   ,   ,1100.00,1700.00,null,null,HZ,null,null,null,null,null,null,85.32,KMIS 251015Z AUTO 21008G13KT 160V240 4SM HZ FEW011 FEW017 27/23 A2995 RMK A01,null
M16,2011-04-25 10:15,-90.4105,32.3045,75.30,71.60,68.00,88.43,200.00,3.00,null,29.95,null,9.00,null,OVC,   ,   ,   ,1200.00,null,null,null,null,null,null,null,null,null,null,72.62,KM16 251015Z AUTO 20003KT 9SM OVC012 22/20 A2995 RMK AO2,null
HEZ,2011-04-25 10:15,-91.2973,31.6137,83.00,71.60,66.20,83.09,160.00,7.00,null,29.92,null,10.00,null,SCT,BKN,BKN,   ,1200.00,2500.00,3800.00,null,null,null,null,null,null,null,null,71.60,KHEZ 251015Z AUTO 16007KT 10SM SCT012 BKN025 BKN038 22/19 A2992 RMK AO1,null
UTA,2011-04-25 10:15,-90.3467,34.6811,59.00,62.60,60.80,93.83,270.00,5.00,0.06,29.94,null,5.00,null,BKN,OVC,   ,   ,900.00,1300.00,null,null,VCTSRA,null,null,null,null,null,null,62.60,KUTA 251015Z AUTO 27005KT 5SM VCTSRA BKN009 OVC013 17/16 A2994 RMK AO2 P0006 LTG DSNT ALQS,null
MYT,2011-04-25 10:15,-89.6150,28.2206,0.00,77.00,73.40,88.67,160.00,19.00,null,29.91,null,1.75,null,BKN,   ,   ,   ,1700.00,null,null,null,HZ,null,null,null,null,null,null,78.57,KMYT 251015Z AUTO 16019KT 1 3/4SM HZ BKN017 25/23 A2991 RMK A01,null
GPT,2011-04-25 10:18,-89.0701,30.4073,9.00,75.20,69.80,83.32,160.00,5.00,null,29.95,null,10.00,null,SCT,BKN,BKN,   ,1800.00,2400.00,3200.00,null,null,null,null,null,null,null,null,76.34,KGPT 251018Z AUTO 16005KT 10SM SCT018 BKN024 BKN032 24/21 A2995 RMK AO2,null
GPT,2011-04-25 10:29,-89.0701,30.4073,9.00,75.20,69.80,83.32,160.00,6.00,null,29.95,null,10.00,null,FEW,SCT,BKN,   ,1800.00,2200.00,3200.00,null,null,null,null,null,null,null,null,76.34,KGPT 251029Z AUTO 16006KT 10SM FEW018 SCT022 BKN032 24/21 A2995 RMK AO2,null
MCB,2011-04-25 10:32,-90.4700,31.1800,126.00,69.80,69.80,100.00,160.00,3.00,null,29.95,null,3.00,null,OVC,   ,   ,   ,200.00,null,null,null,BR,null,null,null,null,null,null,69.80,KMCB 251032Z AUTO 16003KT 3SM BR OVC002 21/21 A2995 RMK AO2 CIG 002V005,null
MYT,2011-04-25 10:35,-89.6150,28.2206,0.00,77.00,73.40,88.67,160.00,16.00,null,29.91,null,1.75,null,SCT,   ,   ,   ,1700.00,null,null,null,HZ,null,null,null,null,null,null,78.57,KMYT 251035Z AUTO 16016KT 1 3/4SM HZ SCT017 25/23 A2991 RMK A01,null
PIB,2011-04-25 10:35,-89.3371,31.4671,91.00,71.60,64.40,78.04,120.00,5.00,null,29.97,null,10.00,null,BKN,OVC,   ,   ,1400.00,2100.00,null,null,null,null,null,null,null,null,null,71.60,KPIB 251035Z AUTO 12005KT 10SM BKN014 OVC021 22/18 A2997 RMK AO1,null
CRX,2011-04-25 10:35,-88.6035,34.9150,129.00,68.00,62.60,82.86,200.00,9.00,null,29.92,null,10.00,14.00,SCT,   ,   ,   ,6500.00,null,null,null,null,null,null,null,null,null,null,68.00,KCRX 251035Z AUTO 20009G14KT 160V220 10SM SCT065 20/17 A2992 RMK AO2 LTG DSNT W-N,null
CKM,2011-04-25 10:35,-90.5123,34.2997,52.70,64.40,62.60,93.88,310.00,7.00,null,29.94,null,10.00,23.00,FEW,BKN,OVC,   ,1900.00,2700.00,3300.00,null,null,null,null,null,null,null,null,64.40,KCKM 251035Z AUTO 31007G23KT 10SM FEW019 BKN027 OVC033 18/17 A2994 RMK AO1,null
MIS,2011-04-25 10:35,-88.8420,29.2960,32.00,82.40,73.40,74.28,0.00,6.00,null,29.95,null,4.00,13.00,FEW,FEW,   ,   ,1100.00,1700.00,null,null,HZ,null,null,null,null,null,null,88.26,KMIS 251035Z AUTO VRB06G13KT 4SM HZ FEW011 FEW017 28/23 A2995 RMK A01,null
UTA,2011-04-25 10:35,-90.3467,34.6811,59.00,62.60,60.80,93.83,null,null,0.11,29.93,null,5.00,null,SCT,BKN,OVC,   ,700.00,1300.00,2400.00,null,RA,null,null,null,null,null,null,62.60,KUTA 251035Z AUTO 00000KT 5SM RA SCT007 BKN013 OVC024 17/16 A2993 RMK AO2 P0011 LTG DSNT NE AND SW,null
1R7,2011-04-25 10:35,-90.4093,31.6058,149.00,69.80,69.80,100.00,150.00,3.00,null,29.96,null,5.00,null,BKN,   ,   ,   ,600.00,null,null,null,BR,null,null,null,null,null,null,69.80,K1R7 251035Z AUTO 15003KT 5SM BR BKN006 21/21 A2996 RMK AO2,null
OLV,2011-04-25 10:35,-89.7869,34.9787,122.50,62.60,62.60,100.00,260.00,7.00,null,29.94,null,1.00,20.00,BKN,BKN,OVC,   ,300.00,800.00,1600.00,null,null,null,null,null,null,null,null,62.60,KOLV 251035Z AUTO 26007G20KT 1SM BKN003 BKN008 OVC016 17/17 A2994 RMK A01 P010,null
GTR,2011-04-25 10:35,-88.5914,33.4503,80.00,64.40,64.40,100.00,160.00,4.00,null,29.97,null,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,64.40,KGTR 251035Z 16004KT 10SM CLR 18/18 A2997 RMK AO1,null
HEZ,2011-04-25 10:35,-91.2973,31.6137,83.00,71.60,68.00,88.43,160.00,7.00,null,29.92,null,10.00,null,FEW,BKN,BKN,   ,1200.00,2300.00,3000.00,null,null,null,null,null,null,null,null,72.62,KHEZ 251035Z AUTO 16007KT 10SM FEW012 BKN023 BKN030 22/20 A2992 RMK AO1,null
M16,2011-04-25 10:35,-90.4105,32.3045,75.30,71.60,68.00,88.43,190.00,3.00,null,29.96,null,8.00,null,OVC,   ,   ,   ,1400.00,null,null,null,null,null,null,null,null,null,null,72.62,KM16 251035Z AUTO 19003KT 8SM OVC014 22/20 A2996 RMK AO2,null
UOX,2011-04-25 10:35,-89.5368,34.3843,137.80,68.00,64.40,88.26,200.00,5.00,null,29.94,null,10.00,null,FEW,   ,   ,   ,8000.00,null,null,null,null,null,null,null,null,null,null,68.00,KUOX 251035Z AUTO 20005KT 10SM FEW080 20/18 A2994 RMK AO2 LTG DSNT W AND NW,null
PQL,2011-04-25 10:36,-88.5319,30.4636,5.00,64.40,64.40,100.00,null,null,null,29.97,null,1.50,null,FEW,   ,   ,   ,1700.00,null,null,null,BR,null,null,null,null,null,null,64.40,KPQL 251036Z AUTO 00000KT 1 1/2SM BR FEW017 18/18 A2997 RMK AO2,null
BIX,2011-04-25 10:38,-88.9244,30.4104,10.00,75.20,71.60,88.59,160.00,5.00,null,29.96,1014.70,10.00,null,BKN,   ,   ,   ,1500.00,null,null,null,null,null,null,null,null,null,null,76.58,KBIX 251038Z AUTO 16005KT 10SM BKN015 24/22 A2996 RMK AO2 CIG 012V018 SLP147,null
BIX,2011-04-25 10:39,-88.9244,30.4104,10.00,75.20,71.60,88.59,150.00,6.00,null,29.96,1014.70,10.00,null,BKN,   ,   ,   ,1400.00,null,null,null,null,null,null,null,null,null,null,76.58,KBIX 251039Z AUTO 15006KT 10SM BKN014 24/22 A2996 RMK AO2 CIG 012V018 SLP147,null
PQL,2011-04-25 10:39,-88.5319,30.4636,5.00,64.40,64.40,100.00,null,null,null,29.97,null,1.00,null,FEW,SCT,   ,   ,100.00,1800.00,null,null,BR,null,null,null,null,null,null,64.40,KPQL 251039Z AUTO 00000KT 1SM BR FEW001 SCT018 18/18 A2997 RMK AO2,null
GPT,2011-04-25 10:40,-89.0701,30.4073,9.00,75.20,69.80,83.32,160.00,5.00,null,29.95,null,10.00,null,SCT,BKN,   ,   ,1800.00,2400.00,null,null,null,null,null,null,null,null,null,76.34,KGPT 251040Z AUTO 16005KT 10SM SCT018 BKN024 24/21 A2995 RMK AO2,null
PQL,2011-04-25 10:43,-88.5319,30.4636,5.00,66.20,64.40,93.92,null,null,null,29.97,null,0.50,null,FEW,SCT,BKN,   ,100.00,1800.00,2200.00,null,FG,null,null,null,null,null,null,66.20,KPQL 251043Z AUTO 00000KT 1/2SM FG FEW001 SCT018 BKN022 19/18 A2997 RMK AO2,null
GTR,2011-04-25 10:50,-88.5914,33.4503,80.00,64.40,62.60,93.88,null,null,null,29.98,null,6.00,null,BKN,   ,   ,   ,1100.00,null,null,null,BR,null,null,null,null,null,null,64.40,KGTR 251050Z 00000KT 6SM BR BKN011 18/17 A2998,null
PQL,2011-04-25 10:51,-88.5319,30.4636,5.00,66.20,64.40,93.92,null,null,null,29.97,null,7.00,null,SCT,BKN,BKN,   ,100.00,1600.00,2200.00,null,null,null,null,null,null,null,null,66.20,KPQL 251051Z 00000KT 7SM SCT001 BKN016 BKN022 19/18 A2997 RMK AO2,null
PQL,2011-04-25 10:53,-88.5319,30.4636,5.00,65.00,65.00,100.00,null,null,null,29.97,1015.10,7.00,null,FEW,BKN,BKN,   ,100.00,1600.00,2200.00,null,null,null,null,null,null,null,null,64.94,KPQL 251053Z 00000KT 7SM FEW001 BKN016 BKN022 18/18 A2997 RMK AO2 SLP151 T01830183,null
GWO,2011-04-25 10:53,-90.0847,33.4943,47.00,70.00,67.00,90.02,180.00,12.00,null,29.91,1012.70,7.00,18.00,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,69.98,KGWO 251053Z AUTO 18012G18KT 7SM CLR 21/19 A2991 RMK AO2 SLP127 T02110194,null
MCB,2011-04-25 10:53,-90.4700,31.1800,126.00,69.00,69.00,100.00,150.00,4.00,null,29.96,1013.90,4.00,null,OVC,   ,   ,   ,400.00,null,null,null,BR,null,null,null,null,null,null,69.08,KMCB 251053Z AUTO 15004KT 4SM BR OVC004 21/21 A2996 RMK AO2 CIG 002V007 SLP139 T02060206,null
TUP,2011-04-25 10:53,-88.7711,34.2608,110.00,67.00,64.00,90.46,210.00,8.00,null,29.94,1013.40,8.00,null,BKN,   ,   ,   ,11000.00,null,null,null,null,null,null,null,null,null,null,66.92,KTUP 251053Z 21008KT 8SM BKN110 19/18 A2994 RMK AO2 SLP134 T01940178,null
GPT,2011-04-25 10:53,-89.0701,30.4073,9.00,76.00,69.00,79.37,160.00,7.00,null,29.95,1014.30,10.00,null,FEW,BKN,   ,   ,1800.00,2400.00,null,null,null,null,null,null,null,null,null,76.94,KGPT 251053Z 16007KT 10SM FEW018 BKN024 24/21 A2995 RMK AO2 SLP143 T02440206,null
HKS,2011-04-25 10:53,-90.2225,32.3348,104.00,71.00,68.00,90.06,190.00,4.00,null,29.97,1014.10,10.00,null,FEW,BKN,OVC,   ,1600.00,3300.00,9500.00,null,null,null,null,null,null,null,null,72.10,KHKS 251053Z AUTO 19004KT 10SM FEW016 BKN033 OVC095 22/20 A2997 RMK AO2 SLP141 T02170200,null
HBG,2011-04-25 10:53,-89.2529,31.2649,46.00,71.00,68.00,90.06,150.00,3.00,null,29.97,1014.50,9.00,null,BKN,OVC,   ,   ,600.00,900.00,null,null,null,null,null,null,null,null,null,72.10,KHBG 251053Z AUTO 15003KT 9SM BKN006 OVC009 22/20 A2997 RMK AO2 CIG 004V008 SLP145 T02170200 TSNO,null
GLH,2011-04-25 10:53,-90.9856,33.4829,40.00,70.00,67.00,90.02,170.00,11.00,null,29.87,1012.00,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,69.98,KGLH 251053Z AUTO 17011KT 10SM CLR 21/19 A2987 RMK AO2 SLP120 T02110194,null
JAN,2011-04-25 10:54,-90.0800,32.3200,101.00,71.00,68.00,90.06,null,null,null,29.97,1014.30,10.00,null,BKN,OVC,   ,   ,2600.00,10000.00,null,null,null,null,null,null,null,null,null,71.06,KJAN 251054Z 00000KT 10SM BKN026 OVC100 22/20 A2997 RMK AO2 SLP143 T02170200,null
BIX,2011-04-25 10:54,-88.9244,30.4104,10.00,75.20,71.60,88.59,150.00,9.00,null,29.96,1014.70,10.00,null,SCT,BKN,   ,   ,1400.00,2200.00,null,null,null,null,null,null,null,null,null,76.58,KBIX 251054Z AUTO 15009KT 10SM SCT014 BKN022 24/22 A2996 RMK AO2 SLP147,null
CBM,2011-04-25 10:55,-88.4438,33.6438,67.00,64.76,64.22,98.13,200.00,4.00,null,29.98,1015.10,10.00,null,CLR,   ,   ,   ,null,null,null,null,null,null,null,null,null,null,null,64.76,KCBM 251055Z AUTO 20004KT 10SM CLR 18/18 A2998 RMK AO2 SLP151 T01820179 $,null
M16,2011-04-25 10:55,-90.4105,32.3045,75.30,71.60,68.00,88.43,160.00,3.00,null,29.96,null,8.00,null,OVC,   ,   ,   ,1400.00,null,null,null,null,null,null,null,null,null,null,72.62,KM16 251055Z AUTO 16003KT 8SM OVC014 22/20 A2996 RMK AO2,null
CKM,2011-04-25 10:55,-90.5123,34.2997,52.70,64.40,62.60,93.88,null,null,0.04,29.93,null,5.00,null,FEW,OVC,   ,   ,400.00,3500.00,null,null,null,null,null,null,null,null,null,64.40,KCKM 251055Z AUTO 00000KT 5SM FEW004 OVC035 18/17 A2993 RMK AO1 P0004,null
1R7,2011-04-25 10:55,-90.4093,31.6058,149.00,71.60,69.80,94.06,160.00,6.00,null,29.97,null,5.00,null,OVC,   ,   ,   ,600.00,null,null,null,BR,null,null,null,null,null,null,72.88,K1R7 251055Z AUTO 16006KT 5SM BR OVC006 22/21 A2997 RMK AO2,null
BIX,2011-04-25 10:55,-88.9244,30.4104,10.00,75.56,72.00,88.60,160.00,8.00,null,29.96,1014.80,10.00,null,SCT,BKN,   ,   ,1400.00,2200.00,null,null,null,null,null,null,null,null,null,76.98,KBIX 251055Z AUTO 16008KT 10SM SCT014 BKN022 24/22 A2996 RMK AO2 SLP148 T02420222,null
PIB,2011-04-25 10:55,-89.3371,31.4671,91.00,71.60,64.40,78.04,140.00,5.00,null,29.98,null,10.00,null,BKN,OVC,   ,   ,1200.00,1800.00,null,null,null,null,null,null,null,null,null,71.60,KPIB 251055Z AUTO 14005KT 10SM BKN012 OVC018 22/18 A2998 RMK AO1,null
MIS,2011-04-25 10:55,-88.8420,29.2960,32.00,80.60,73.40,78.76,210.00,9.00,null,29.96,null,4.00,14.00,FEW,   ,   ,   ,2000.00,null,null,null,HZ,null,null,null,null,null,null,85.32,KMIS 251055Z AUTO 21009G14KT 180V240 4SM HZ FEW020 27/23 A2996 RMK A01,null
OLV,2011-04-25 10:55,-89.7869,34.9787,122.50,60.80,60.80,100.00,300.00,6.00,null,29.92,null,5.00,null,BKN,BKN,OVC,   ,500.00,1600.00,4700.00,null,null,null,null,null,null,null,null,60.80,KOLV 251055Z AUTO 30006KT 5SM BKN005 BKN016 OVC047 16/16 A2992 RMK A01 P016,null
MYT,2011-04-25 10:55,-89.6150,28.2206,0.00,77.00,73.40,88.67,160.00,16.00,null,29.92,null,1.75,null,BKN,   ,   ,   ,1700.00,null,null,null,HZ,null,null,null,null,null,null,78.57,KMYT 251055Z AUTO 16016KT 1 3/4SM HZ BKN017 25/23 A2992 RMK A01,null
UTA,2011-04-25 10:55,-90.3467,34.6811,59.00,62.60,60.80,93.83,null,null,0.16,29.93,null,5.00,null,BKN,OVC,   ,   ,700.00,1100.00,null,null,-TSRA,null,null,null,null,null,null,62.60,KUTA 251055Z AUTO 00000KT 5SM -TSRA BKN007 OVC011 17/16 A2993 RMK AO2 P0016 LTG DSNT ALQS,null
HEZ,2011-04-25 10:55,-91.2973,31.6137,83.00,71.60,68.00,88.43,160.00,9.00,null,29.92,null,10.00,null,BKN,BKN,BKN,   ,2300.00,3100.00,3800.00,null,null,null,null,null,null,null,null,72.62,KHEZ 251055Z AUTO 16009KT 10SM BKN023 BKN031 BKN038 22/20 A2992 RMK AO1,null
CRX,2011-04-25 10:55,-88.6035,34.9150,129.00,68.00,64.40,88.26,180.00,9.00,null,29.92,null,10.00,15.00,BKN,BKN,   ,   ,6500.00,11000.00,null,null,null,null,null,null,null,null,null,68.00,KCRX 251055Z AUTO 18009G15KT 10SM BKN065 BKN110 20/18 A2992 RMK AO2 LTG DSNT W-N,null
UOX,2011-04-25 10:55,-89.5368,34.3843,137.80,68.00,64.40,88.26,200.00,6.00,null,29.94,null,10.00,null,FEW,FEW,   ,   ,1400.00,7000.00,null,null,null,null,null,null,null,null,null,68.00,KUOX 251055Z AUTO 20006KT 10SM FEW014 FEW070 20/18 A2994 RMK AO2,null
NMM,2011-04-25 10:56,-88.5556,32.5521,97.00,67.00,64.00,90.46,null,null,null,29.98,1015.90,5.00,null,CLR,   ,   ,   ,null,null,null,null,BR,null,null,null,null,null,null,66.92,KNMM 251056Z AUTO 00000KT 5SM BR CLR 19/18 A2998 RMK AO2 SLP159 T01940178,null
MEI,2011-04-25 10:58,-88.7511,32.3347,94.00,66.00,66.00,100.00,null,null,null,29.98,1014.80,3.00,null,CLR,   ,   ,   ,null,null,null,null,BR,null,null,null,null,null,null,66.02,KMEI 251058Z 00000KT 3SM BR CLR 19/19 A2998 RMK AO2 SLP148 T01890189,null
PQL,2011-04-25 11:09,-88.5319,30.4636,5.00,66.20,66.20,100.00,null,null,null,29.97,null,7.00,null,FEW,SCT,   ,   ,300.00,2200.00,null,null,null,null,null,null,null,null,null,66.20,KPQL 251109Z 00000KT 7SM FEW003 SCT022 19/19 A2997 RMK AO2,null
BIX,2011-04-25 11:09,-88.9244,30.4104,10.00,75.20,71.60,88.59,170.00,8.00,null,29.96,1014.80,10.00,null,SCT,SCT,   ,   ,1700.00,2300.00,null,null,null,null,null,null,null,null,null,76.58,KBIX 251109Z AUTO 17008KT 10SM SCT017 SCT023 24/22 A2996 RMK AO2 SCT023 V BKN SLP148,null
BIX,2011-04-25 11:14,-88.9244,30.4104,10.00,75.20,71.60,88.59,150.00,8.00,null,29.97,1014.90,10.00,null,SCT,BKN,   ,   ,1500.00,2100.00,null,null,null,null,null,null,null,null,null,76.58,KBIX 251114Z AUTO 15008KT 10SM SCT015 BKN021 24/22 A2997 RMK AO2 SLP149,null
CRX,2011-04-25 11:15,-88.6035,34.9150,129.00,68.00,64.40,88.26,190.00,10.00,null,29.93,null,10.00,17.00,FEW,BKN,   ,   ,6500.00,10000.00,null,null,null,null,null,null,null,null,null,68.00,KCRX 251115Z AUTO 19010G17KT 10SM FEW065 BKN100 20/18 A2993 RMK AO2,null
MYT,2011-04-25 11:15,-89.6150,28.2206,0.00,77.00,73.40,88.67,170.00,12.00,null,29.92,null,1.50,17.00,BKN,BKN,   ,   ,1700.00,2200.00,null,null,HZ,null,null,null,null,null,null,78.57,KMYT 251115Z AUTO 17012G17KT 1 1/2SM HZ BKN017 BKN022 25/23 A2992 RMK A01,null
M16,2011-04-25 11:15,-90.4105,32.3045,75.30,71.60,68.00,88.43,null,null,null,29.96,null,8.00,null,SCT,BKN,BKN,   ,1400.00,2300.00,9500.00,null,null,null,null,null,null,null,null,71.60,KM16 251115Z AUTO 00000KT 8SM SCT014 BKN023 BKN095 22/20 A2996 RMK AO2,null
UTA,2011-04-25 11:15,-90.3467,34.6811,59.00,62.60,60.80,93.83,140.00,4.00,0.01,29.90,null,10.00,null,BKN,OVC,   ,   ,700.00,1500.00,null,null,-RA,null,null,null,null,null,null,62.60,KUTA 251115Z AUTO 14004KT 10SM -RA BKN007 OVC015 17/16 A2990 RMK AO2 P0001 LTG DSNT NE THRU SE,null
HEZ,2011-04-25 11:15,-91.2973,31.6137,83.00,71.60,66.20,83.09,160.00,7.00,null,29.93,null,10.00,null,FEW,FEW,   ,   ,2400.00,3500.00,null,null,null,null,null,null,null,null,null,71.60,KHEZ 251115Z AUTO 16007KT 10SM FEW024 FEW035 22/19 A2993 RMK AO1,null
PIB,2011-04-25 11:15,-89.3371,31.4671,91.00,71.60,64.40,78.04,150.00,6.00,null,29.99,null,9.00,null,BKN,OVC,   ,   ,1300.00,1900.00,null,null,null,null,null,null,null,null,null,71.60,KPIB 251115Z AUTO 15006KT 9SM BKN013 OVC019 22/18 A2999 RMK AO1,null
UOX,2011-04-25 11:15,-89.5368,34.3843,137.80,68.00,64.40,88.26,190.00,5.00,null,29.94,null,10.00,null,FEW,BKN,   ,   ,1400.00,6000.00,null,null,null,null,null,null,null,null,null,68.00,KUOX 251115Z AUTO 19005KT 10SM FEW014 BKN060 20/18 A2994 RMK AO2 LTG DSNT N,null
MIS,2011-04-25 11:15,-88.8420,29.2960,32.00,80.60,73.40,78.76,210.00,7.00,null,29.96,null,4.00,13.00,FEW,   ,   ,   ,1900.00,null,null,null,HZ,null,null,null,null,null,null,85.32,KMIS 251115Z AUTO 21007G13KT 4SM HZ FEW019 27/23 A2996 RMK A01,null
CKM,2011-04-25 11:15,-90.5123,34.2997,52.70,64.40,62.60,93.88,null,null,null,29.92,null,8.00,null,SCT,BKN,OVC,   ,3500.00,4800.00,6500.00,null,null,null,null,null,null,null,null,64.40,KCKM 251115Z AUTO 00000KT 8SM SCT035 BKN048 OVC065 18/17 A2992 RMK AO1,null
OLV,2011-04-25 11:15,-89.7869,34.9787,122.50,60.80,60.80,100.00,230.00,3.00,null,29.91,null,7.00,null,BKN,OVC,   ,   ,600.00,3400.00,null,null,null,null,null,null,null,null,null,60.80,KOLV 251115Z AUTO 23003KT 7SM BKN006 OVC034 16/16 A2991 RMK A01 P000,null
